batsman,Chennai Super Kings,Deccan Chargers,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad,Total
SK Raina,0,310,491,0,691,69,701,708,127,471,43,58,606,273,4548
V Kohli,706,306,661,283,483,50,391,447,128,258,83,188,0,439,4423
RG Sharma,535,175,670,82,528,0,710,103,135,403,86,92,519,169,4207
G Gambhir,429,225,413,122,671,3,147,452,182,423,86,11,644,324,4132
DA Warner,338,226,268,336,668,16,677,465,118,231,83,11,569,8,4014
RV Uthappa,492,138,551,111,570,31,216,440,0,302,87,4,449,387,3778
CH Gayle,277,67,383,100,797,44,532,469,383,295,0,0,74,230,3651
S Dhawan,448,118,397,127,530,4,452,536,81,331,49,89,399,0,3561
MS Dhoni,0,281,419,83,453,23,387,581,135,249,0,0,608,341,3560
AB de Villiers,374,153,247,233,482,54,255,510,149,485,32,84,115,313,3486
AM Rahane,231,50,632,78,388,8,346,476,173,3,0,0,488,184,3057
YK Pathan,226,312,402,110,279,25,195,429,130,115,4,73,336,286,2922
KD Karthik,371,164,341,0,384,69,352,237,138,286,32,33,337,159,2903
BB McCullum,230,36,305,0,277,0,262,438,83,155,94,92,569,214,2755
V Sehwag,405,317,80,0,250,95,305,431,220,316,0,0,255,54,2728
SR Watson,480,80,295,7,322,69,344,331,165,0,14,37,271,213,2628
Yuvraj Singh,321,118,433,13,239,8,386,259,0,384,47,23,312,48,2591
M Vijay,80,91,335,97,152,44,256,347,94,366,0,112,394,143,2511
SE Marsh,296,190,219,89,0,42,186,526,97,421,10,4,266,143,2489
JH Kallis,320,292,338,0,266,51,136,475,17,247,0,0,220,65,2427
AT Rayudu,320,108,356,20,276,53,264,0,92,249,22,44,406,206,2416
DR Smith,233,0,319,0,249,0,187,344,0,355,47,63,275,313,2385
KA Pollard,378,70,304,74,277,0,213,0,55,257,50,1,451,224,2354
SR Tendulkar,368,230,294,0,270,100,326,0,152,273,0,0,269,52,2334
PA Patel,195,24,300,104,481,0,302,151,76,203,108,21,210,147,2322
MK Pandey,154,212,311,25,355,0,101,434,0,137,37,15,137,305,2223
R Dravid,277,339,353,0,200,45,204,195,165,146,0,0,177,73,2174
AC Gilchrist,255,112,321,0,141,9,271,234,50,255,0,0,369,52,2069
JP Duminy,148,99,102,61,170,0,233,261,83,278,0,48,403,107,1993
MEK Hussey,40,54,235,0,251,40,281,258,75,350,0,0,281,112,1977
DPMD Jayawardene,195,219,120,0,183,0,451,261,53,163,0,0,140,23,1808
RA Jadeja,99,107,248,0,255,0,259,224,125,97,19,4,189,106,1732
SPD Smith,179,73,99,153,188,0,146,341,0,55,0,0,252,227,1713
KC Sangakkara,131,186,239,0,40,65,216,299,146,177,0,0,188,0,1687
MK Tiwary,138,102,178,31,262,47,83,304,53,199,0,0,202,49,1648
AJ Finch,133,0,282,0,203,0,218,170,25,141,46,50,214,122,1604
DA Miller,223,28,222,46,0,0,140,214,80,165,30,14,227,174,1563
WP Saha,126,27,143,63,96,46,361,243,13,68,27,7,207,130,1557
NV Ojha,277,105,108,19,356,13,259,96,30,72,9,25,184,0,1553
S Badrinath,0,87,185,0,245,32,103,321,199,154,0,0,115,0,1441
SV Samson,42,0,85,91,272,0,234,248,10,0,104,30,126,184,1426
BJ Hodge,186,140,89,0,188,0,139,262,79,89,0,0,165,63,1400
SC Ganguly,79,327,154,0,235,0,59,145,0,253,0,0,97,0,1349
DJ Hussey,82,250,146,0,98,21,90,203,30,125,0,0,205,72,1322
F du Plessis,0,81,108,69,203,0,92,206,101,148,0,0,205,82,1295
SS Tiwary,102,88,148,1,104,26,208,136,140,146,0,0,142,35,1276
DJ Bravo,47,178,132,0,204,0,137,170,18,143,0,29,126,78,1262
GJ Maxwell,204,0,45,53,0,0,255,208,13,121,44,32,94,160,1229
KK Nair,19,0,173,51,78,0,168,144,0,0,64,73,187,201,1158
TM Dilshan,79,263,10,0,34,53,107,196,105,230,0,0,71,5,1153
IK Pathan,206,110,70,0,52,18,231,91,57,133,0,0,146,36,1150
Mandeep Singh,111,110,68,8,98,15,214,81,148,124,0,0,100,35,1112
ML Hayden,0,136,181,0,152,0,71,257,0,102,0,0,208,0,1107
LMP Simmons,281,0,116,0,230,0,29,0,0,112,8,8,127,168,1079
LRPL Taylor,181,64,125,0,50,2,169,122,68,106,0,0,111,19,1017
KP Pietersen,66,143,53,37,188,0,19,190,59,162,0,0,33,51,1001
Y Venugopal Rao,132,24,66,0,118,41,151,164,31,113,0,0,145,0,985
JA Morkel,81,138,80,0,112,22,106,39,16,254,0,0,127,0,975
A Symonds,131,52,170,0,154,0,100,22,19,201,0,0,125,0,974
CL White,136,48,105,0,132,31,95,100,162,42,0,0,120,0,971
MC Henriques,31,17,187,81,95,0,120,76,27,51,59,11,163,51,969
M Vohra,54,0,133,40,0,0,241,64,65,28,14,51,72,195,957
KM Jadhav,84,0,90,69,10,0,86,76,25,80,25,0,164,184,893
HH Gibbs,150,0,53,0,113,0,224,102,0,52,0,0,192,0,886
EJG Morgan,78,14,100,0,159,76,66,63,15,141,4,0,43,95,854
MA Agarwal,137,35,36,0,136,33,57,121,9,114,0,0,64,72,814
SS Iyer,77,0,0,110,91,0,144,130,0,49,3,8,52,143,807
Harbhajan Singh,171,86,99,11,117,0,74,0,29,66,7,45,67,27,799
MS Bisla,232,29,10,0,89,16,40,49,13,127,0,0,150,43,798
ST Jayasuriya,190,60,107,0,25,0,124,0,0,96,0,0,166,0,768
STR Binny,141,7,73,21,92,0,60,116,39,0,19,0,80,118,766
GC Smith,158,112,123,0,79,24,41,56,0,0,0,0,146,0,739
Q de Kock,31,0,0,51,111,0,28,65,2,42,0,2,243,151,726
KL Rahul,30,0,74,51,110,0,66,197,0,40,0,45,50,62,725
AD Mathews,81,69,106,0,57,0,126,51,0,96,0,0,64,74,724
TL Suman,86,19,84,0,106,0,59,69,36,94,0,0,111,12,676
AM Nayar,147,99,42,0,94,0,13,31,36,92,0,0,95,23,672
GJ Bailey,71,0,52,0,24,0,173,136,0,50,0,0,50,107,663
SA Yadav,26,0,67,22,102,0,0,143,0,40,30,60,65,53,608
AR Patel,43,0,148,40,0,0,50,29,0,36,46,1,122,91,606
JD Ryder,116,60,146,0,95,17,45,21,0,19,0,0,85,0,604
HM Amla,0,0,36,169,0,0,25,104,0,0,28,30,89,96,577
AD Russell,76,0,22,0,133,0,4,60,0,45,0,17,195,22,574
RR Pant,0,0,0,190,22,0,48,23,0,0,67,6,103,105,564
RS Bopara,23,38,136,0,0,0,17,30,0,84,0,0,203,0,531
JC Buttler,0,0,48,85,110,0,84,0,0,0,55,27,92,27,528
JP Faulkner,22,0,92,0,122,0,14,100,25,11,6,9,53,73,527
CJ Anderson,81,0,13,24,97,0,77,10,0,145,5,0,27,42,521
PP Chawla,46,55,52,11,52,0,57,48,52,81,0,8,21,32,515
M Manhas,77,63,35,0,157,12,1,44,0,79,0,0,43,3,514
OA Shah,60,98,2,0,37,0,78,135,4,19,0,0,73,0,506
PC Valthaty,120,80,79,0,0,17,20,47,30,59,0,0,47,6,505
Shakib Al Hasan,57,0,31,70,45,2,0,79,42,81,0,3,82,8,500
KH Pandya,0,0,139,53,19,0,62,0,0,0,65,0,39,103,480
CH Morris,16,0,13,82,41,0,42,73,5,1,38,38,41,49,439
N Rana,0,0,8,142,99,0,50,0,0,0,37,0,47,54,437
NLTC Perera,23,22,19,3,90,0,74,14,32,33,0,0,97,17,424
SA Asnodkar,137,44,55,0,12,0,69,56,0,0,0,0,50,0,423
DT Christian,32,0,57,17,71,9,51,99,24,55,0,0,1,4,420
JR Hopes,95,34,4,0,7,0,56,55,13,67,0,0,86,0,417
KS Williamson,26,0,140,6,54,0,71,2,0,0,25,32,55,0,411
J Botha,57,84,93,0,17,14,33,49,19,2,0,0,19,22,409
HH Pandya,22,0,60,19,49,0,100,0,0,0,72,9,49,26,406
LR Shukla,118,26,60,0,12,0,10,52,0,88,0,0,18,21,405
AL Menaria,46,42,25,0,68,31,89,45,47,0,0,0,8,0,401
MV Boucher,37,21,79,0,41,5,95,105,0,10,0,0,1,0,394
RA Tripathi,0,0,17,39,28,0,131,48,0,0,0,0,68,60,391
CA Pujara,15,52,35,0,70,0,19,19,0,114,0,0,31,35,390
Azhar Mahmood,35,45,54,0,0,0,2,99,0,53,0,0,96,4,388
CA Lynn,0,0,0,93,97,0,0,72,0,6,0,0,110,6,384
DB Ravi Teja,40,0,38,0,80,8,64,55,34,41,0,0,15,0,375
DJ Hooda,15,0,74,22,100,0,42,40,0,0,19,15,39,7,373
S Sohal,61,39,65,0,7,1,51,68,34,4,0,0,38,0,368
P Negi,8,0,28,35,29,0,59,100,8,2,13,19,37,15,353
Gurkeerat Singh,46,29,34,0,0,0,54,8,0,33,0,51,40,47,342
R Bhatia,55,4,66,0,37,11,9,50,24,20,0,0,58,8,342
A Mishra,44,6,22,8,26,0,62,82,30,30,13,0,17,0,340
P Kumar,49,24,20,0,42,0,40,41,7,81,0,0,17,19,340
AP Tare,39,0,39,0,45,0,34,0,0,123,0,8,44,7,339
JEC Franklin,39,20,0,0,101,0,74,0,63,13,0,0,17,0,327
